Parameter,Scenario,Multiplier,P25_Fixed_Price,Change_from_Base,Pct_Change
Forward Prices,80%,0.8,-6.611022644620237,1.4995627965484308,-18.488958749349617
Forward Prices,100%,1.0,-8.089559557897019,0.021025883271649448,-0.25924001940629077
Forward Prices,120%,1.2,-9.577053328804094,-1.4664678876354262,18.080912879503806
Generation Volume,80%,0.8,-8.240454967416884,-0.1298695262482159,1.601234919356238
Generation Volume,100%,1.0,-8.095670004154211,0.014915437014456856,-0.18390086785532544
Generation Volume,120%,1.2,-8.028051086338298,0.0825343548303703,-1.0176127904581669
Basis Volatility,50%,0.5,-17.791200568433833,-9.680615127265165,119.35778492791846
Basis Volatility,100%,1.0,-17.801719328520036,-9.691133887351368,119.48747667659063
Basis Volatility,200%,2.0,-17.842772294626656,-9.732186853457987,119.99364193931308
Negative Price Frequency,1x Historical,1.0,-15.320332215328484,-7.209746774159816,88.89305003266142
Negative Price Frequency,2x Historical,2.0,-15.336817443595422,-7.2262320024267535,89.0963057456616
Negative Price Frequency,3x Historical,3.0,-15.324221076158482,-7.213635634989814,88.94099799965105
